human,name_hu,alias_hu
http://www.wikidata.org/entity/Q1791,Jan II Carondelet,Jean Carondelet
http://www.wikidata.org/entity/Q1797,Pupienus római császár,Imperator Caesar Marcus Clodius Pupienus Maximus Augustus
http://www.wikidata.org/entity/Q1785,Charles Aznavour,Shahnour Vaghenag Aznavourian
http://www.wikidata.org/entity/Q1777,Maximinus Thrax,Caius Iulius Maximinus
http://www.wikidata.org/entity/Q1777,Maximinus Thrax,Imperator Caesar Caius Iulius Verus Maximinus Augustus
http://www.wikidata.org/entity/Q1805,Balbinus római császár,Decimus Caelius Calvinus Balbinus
http://www.wikidata.org/entity/Q1805,Balbinus római császár,Imperator Caesar Decimus Caelius Calvinus Balbinus Augustus
http://www.wikidata.org/entity/Q1817,Philippus Arabs római császár,Imperator Caesar Marcus Iulius Philippus Augustus
http://www.wikidata.org/entity/Q1817,Philippus Arabs római császár,Marcus Iulius Philippus
http://www.wikidata.org/entity/Q1817,Philippus Arabs római császár,I. Philippus
http://www.wikidata.org/entity/Q2252,Edwin Aldrin,Buzz Aldrin
http://www.wikidata.org/entity/Q1830,Decius római császár,Caius Messius Decius
http://www.wikidata.org/entity/Q1830,Decius római császár,Imperator Caesar Caius Messius Quintus Decius Traianus Augustus
http://www.wikidata.org/entity/Q1407,Tiberius római császár,Tiberius
http://www.wikidata.org/entity/Q1407,Tiberius római császár,Tiberius Caesar Augustus
http://www.wikidata.org/entity/Q1407,Tiberius római császár,Tiberius Iulius Caesar
http://www.wikidata.org/entity/Q1436,Pertinax római császár,Imperator Caesar Publius Helvius Pertinax Augustus
http://www.wikidata.org/entity/Q1436,Pertinax római császár,Pertinax
http://www.wikidata.org/entity/Q1436,Pertinax római császár,Publius Helvius Pertinax
http://www.wikidata.org/entity/Q1035,Charles Darwin,Darwin
http://www.wikidata.org/entity/Q1786,Jan I Carondelet,Jean Carondelet
http://www.wikidata.org/entity/Q1788,Claude I Carondelet,Claude Carondelet
http://www.wikidata.org/entity/Q1604,Tim Lincecum,Big Time Timmy Jim
http://www.wikidata.org/entity/Q1604,Tim Lincecum,The Freak
http://www.wikidata.org/entity/Q1604,Tim Lincecum,Timothy Leroy Lincecum
http://www.wikidata.org/entity/Q1298,Pedro Montt Montt,Pedro Elías Pablo Montt Montt
http://www.wikidata.org/entity/Q1300,Germán Riesco Errázuriz,Germán Riesco
http://www.wikidata.org/entity/Q1545,Cyndi Lauper,Cynthia Ann Stephanie Lauper
http://www.wikidata.org/entity/Q1433,Lucius Verus római császár,Imperator Caesar Lucius Aurelius Verus Augustus
http://www.wikidata.org/entity/Q1433,Lucius Verus római császár,Lucius Ceionius Commodus
http://www.wikidata.org/entity/Q1433,Lucius Verus római császár,Lucius Verus
http://www.wikidata.org/entity/Q1868,Paul Otlet,Paul Marie Ghislain Otlet
http://www.wikidata.org/entity/Q1732,Ivan Ukhov,Iwan Sergejewitsch Uchow
http://www.wikidata.org/entity/Q392,Bob Dylan,Robert Allen Zimmerman
http://www.wikidata.org/entity/Q1316,Szaddám Huszein,Szaddám Huszein Abd el-Madzsíd et-Tikríti
http://www.wikidata.org/entity/Q1440,Didius Iulianus római császár,Didius Iulianus
http://www.wikidata.org/entity/Q1440,Didius Iulianus római császár,Marcus Didius Iulianus
http://www.wikidata.org/entity/Q1440,Didius Iulianus római császár,Marcus Didius Severus Iulianus
http://www.wikidata.org/entity/Q1440,Didius Iulianus római császár,Marcus Didius Severus Iulianus Augustus
http://www.wikidata.org/entity/Q1835,Zinédine Zidane,Zinédine Yazid Zidane
http://www.wikidata.org/entity/Q1835,Zinédine Zidane,Zizou
http://www.wikidata.org/entity/Q1276,Leonard Cohen,Leonard Norman Cohen
http://www.wikidata.org/entity/Q1839,Laurent Blanc,Laurent Robert Blanc
http://www.wikidata.org/entity/Q1203,John Lennon,John Winston Lennon
http://www.wikidata.org/entity/Q1628,David Burghley,David George Brownlow Cecil Burghley
http://www.wikidata.org/entity/Q1615,Neil Armstrong,Neil Alden Armstrong
http://www.wikidata.org/entity/Q1698,Serge Gainsbourg,Lucien Ginsburg
http://www.wikidata.org/entity/Q1442,Septimius Severus római császár,Imperator Caesar Lucius Septimius Severus Pertinax Augustus
http://www.wikidata.org/entity/Q1442,Septimius Severus római császár,Lucius Septimius Severus
http://www.wikidata.org/entity/Q1442,Septimius Severus római császár,Septimius Severus
http://www.wikidata.org/entity/Q1409,Caligula római császár,Caius Caesar
http://www.wikidata.org/entity/Q1409,Caligula római császár,Caius Caesar Caligula
http://www.wikidata.org/entity/Q1409,Caligula római császár,Caius Iulius Caesar Augustus Germanicus
http://www.wikidata.org/entity/Q1409,Caligula római császár,Caligula
http://www.wikidata.org/entity/Q1317,Oszáma bin Láden,Oszáma bin Mohammed bin Avad bin Láden
http://www.wikidata.org/entity/Q1320,Jorge Montt,Jorge Montt Álvarez
http://www.wikidata.org/entity/Q1625,Sigfrid Edström,Johannes Sigfrid Edström
http://www.wikidata.org/entity/Q9545,Tony Blair,Anthony Charles Lynton Blair
http://www.wikidata.org/entity/Q1631,Édith Piaf,Édith Giovanna Gassion
http://www.wikidata.org/entity/Q9696,John Fitzgerald Kennedy,John F. Kennedy
http://www.wikidata.org/entity/Q80,Tim Berners-Lee,Sir Tim Berners-Lee
